Brand,Model,Variant,Name,Year,Km_Driven,Fuel,Seller_Type,Transmission,Owner,Selling_Price
12,5,534,664,2007,70000,4,1,1,0,60000
12,536,643,921,2007,50000,4,1,1,0,135000
10,506,307,444,2012,100000,1,1,1,0,600000
5,361,645,83,2017,46000,4,1,1,0,250000
9,34,714,231,2014,141000,1,1,1,2,450000
12,22,555,701,2007,125000,4,1,1,0,140000
10,558,68,480,2016,25000,4,1,1,0,550000
19,261,650,1113,2014,60000,4,1,1,2,240000
10,123,319,334,2015,25000,4,1,1,0,850000
12,83,694,723,2017,78000,0,1,1,0,365000
3,383,51,42,2015,35000,4,1,1,0,260000
19,261,650,1113,2014,100000,4,1,1,0,250000
12,99,651,750,2015,24000,4,0,1,0,585000
3,165,496,36,2013,33000,1,1,1,2,390000
12,523,540,901,2018,4500,1,0,0,0,975000
9,107,641,263,2018,14500,4,0,1,0,930000
19,490,87,1191,2018,15000,4,1,1,0,525000
18,443,377,1058,2011,130400,1,0,0,2,450000
20,121,542,1212,2016,50000,4,1,0,0,900000
13,131,434,960,2010,119000,4,0,0,0,850000
10,588,40,492,2014,60000,4,1,1,1,229999
10,148,660,350,2012,40000,1,1,1,0,625000
11,414,348,587,2014,50000,1,1,1,0,1050000
9,109,686,270,2014,74000,1,1,1,2,560000
12,544,533,928,2014,64000,4,1,1,2,290000
12,543,619,927,2012,60000,4,1,1,2,275000
11,414,629,598,2009,120000,1,1,1,2,411000
10,399,604,418,2009,79000,4,1,1,4,150000
10,219,63,375,2019,15000,4,1,1,0,500000
12,15,631,703,2006,80000,4,1,1,0,100000
12,455,647,852,2017,18500,1,0,1,0,725000
12,144,489,759,2018,10200,4,0,1,0,401000
10,599,162,541,2018,29000,1,0,1,0,750000
12,333,491,805,2018,28000,4,0,1,0,310000
12,472,556,889,2016,46000,1,0,1,0,665000
10,590,443,518,2014,70000,1,0,1,0,465000
12,15,631,703,2012,60000,4,1,1,2,160000
9,109,692,271,2014,90000,1,0,1,0,675000
12,543,619,927,2013,80000,4,0,1,0,300000
19,239,576,1074,2005,80000,1,1,1,0,70000
10,140,651,346,2014,73300,4,0,1,2,240000
20,179,601,1221,2014,92000,1,0,1,0,525000
12,15,631,703,2009,66764,4,0,1,2,151000
12,15,631,703,2009,100000,4,1,1,0,140000
11,414,350,589,2017,60000,1,1,1,0,570000
10,140,651,346,2018,31000,4,1,1,0,300000
19,259,582,1108,2007,39000,1,1,1,0,100000
20,264,414,1255,2009,120000,1,1,1,4,500000
19,247,625,1092,2014,166000,1,1,1,1,125000
12,447,152,836,2006,110000,4,1,1,4,130000
8,142,215,119,2017,35000,1,1,1,0,925000
12,92,133,737,2018,60000,1,1,1,0,750000
9,115,336,289,2007,54000,4,1,0,2,200000
10,589,41,498,2010,63000,4,1,1,2,248000
18,356,251,1046,2014,120000,1,1,1,2,450000
10,215,604,369,2005,120000,4,1,1,4,80000
15,478,700,982,2014,76000,4,1,1,2,650000
10,223,674,390,2015,80000,1,1,1,0,450000
10,152,594,356,2019,25000,1,1,1,0,650000
9,27,716,222,2016,11958,4,0,1,0,495000
9,75,641,243,2015,20000,4,0,1,0,371000
10,123,310,333,2017,9000,4,0,1,0,1025000
11,557,450,648,2015,70000,1,1,1,0,750000
17,127,521,1000,2013,120000,1,1,1,0,600000
10,399,702,429,2007,58000,4,0,1,2,80000
11,64,439,544,2013,62200,1,0,1,0,325000
6,48,593,86,2015,53000,1,1,1,2,350000
5,358,25,78,2017,15000,4,0,1,2,210000
21,272,191,1270,2013,50000,4,1,1,0,450000
9,115,336,289,2009,63500,4,0,0,0,210000
12,378,555,830,2008,29173,4,0,1,0,175000
11,66,665,556,2017,120000,1,1,1,0,628000
10,428,637,434,2010,100000,1,1,1,0,600000
15,303,650,968,2017,30000,4,1,1,0,399000
11,560,569,653,2018,87000,1,1,1,0,750000
10,159,556,363,2019,15000,4,1,1,0,750000
17,274,657,1016,2017,16000,4,1,1,0,315000
11,566,617,658,2012,60000,1,1,1,0,600000
12,536,643,921,2010,60000,4,1,1,1,100000
12,377,556,829,2011,110000,4,1,1,4,250000
17,274,657,1016,2017,25000,4,1,1,0,350000
10,123,168,322,2016,60000,1,1,1,0,780000
12,450,688,851,2014,79350,1,1,1,2,434000
10,506,318,450,2016,80000,4,1,0,0,690000
11,415,556,599,2014,90000,1,1,1,2,555000
12,374,555,824,2007,90000,4,1,1,2,120000
12,166,688,772,2014,120000,1,1,1,2,500000
3,60,583,18,2013,60000,1,1,1,2,165000
12,571,629,949,2004,50000,4,1,1,0,95000
12,56,41,712,2018,20000,4,1,1,0,550000
12,470,555,885,2007,110000,1,1,1,1,100000
19,314,556,1140,2012,50000,4,1,1,2,100000
20,264,409,1250,2012,100000,1,1,1,0,500000
12,169,688,769,2016,70000,1,1,1,2,800000
10,123,285,327,2016,70000,1,1,1,2,840000
9,27,717,223,2016,50000,4,1,1,0,490000
19,243,190,1085,2010,81000,1,1,1,2,125000
3,477,370,58,2012,120000,1,1,1,4,400000
3,125,628,31,2015,3600,1,0,1,0,1000000
8,192,106,174,2015,14272,4,0,1,0,530000
8,142,216,120,2017,49213,1,0,1,0,840000
10,589,40,497,2015,40000,4,1,1,0,229999
3,430,15,52,2012,80000,4,1,1,0,130000
10,136,651,340,2015,70000,4,1,1,0,200000
19,244,555,1086,2011,70000,1,1,1,0,120000
10,393,720,407,2003,57000,4,1,1,0,75000
19,70,697,1067,2016,120000,1,1,1,0,250000
12,5,536,666,2005,30000,4,1,1,0,100000
10,136,651,340,2013,3240,4,1,1,2,280000
10,597,41,535,2015,5000,4,1,1,0,540000
10,590,47,501,2018,10000,4,1,1,0,700000
12,96,651,747,2015,100000,1,1,1,0,525000
10,594,162,530,2016,80000,1,1,1,0,430000
10,389,623,405,2002,70000,4,1,1,0,65000
12,519,689,897,2018,35000,1,1,1,0,800000
10,410,617,428,2007,114000,4,1,1,2,75000
10,215,139,364,2008,53772,4,1,1,0,210000
11,355,559,582,2012,140000,1,1,1,2,195000
3,477,458,62,2015,120000,1,1,1,0,400000
10,140,651,346,2012,60000,4,1,1,0,170000
17,274,657,1016,2016,25000,4,1,1,0,225000
12,532,624,908,2014,90000,3,1,1,0,210000
12,528,630,914,2020,120000,4,1,1,0,240000
3,430,15,52,2011,100000,4,1,1,4,99000
9,111,668,275,2014,36000,4,1,1,0,620000
9,34,714,231,2013,30000,1,1,1,0,500000
9,73,641,241,2013,70000,4,1,1,2,260000
12,466,711,877,2017,60000,4,1,1,0,550000
19,252,561,1101,2011,155500,1,1,1,0,150000
10,586,542,485,2011,50000,4,1,0,2,350000
3,60,627,24,2016,40000,4,1,1,0,320000
12,464,556,873,2015,100000,1,1,1,4,400000
12,15,631,703,2012,80000,4,1,1,4,175000
3,60,627,24,2011,90000,4,1,1,2,120000
17,127,365,995,2013,90000,1,1,1,2,320000
10,399,698,421,2006,110000,4,1,1,4,70000
12,458,651,861,2019,15000,4,1,1,0,810000
12,5,534,664,2007,100000,4,1,1,2,95000
12,18,560,693,2020,40000,0,1,1,0,282000
12,5,676,672,2004,60000,4,1,1,2,80000
19,313,662,1137,2013,25000,4,1,1,0,72000
10,597,41,535,2016,25000,4,1,1,0,600000
18,356,304,1050,2015,23000,4,1,1,0,640000
12,17,694,695,2018,22155,4,1,1,0,380000
12,92,171,740,2018,70000,4,1,1,0,650000
12,15,629,700,2009,60000,4,1,1,2,150000
10,590,549,526,2009,110000,4,1,1,2,280000
19,321,86,1158,2018,30000,4,1,1,0,430000
11,66,665,556,2019,15000,1,1,1,0,800000
12,571,567,937,2003,100000,1,1,1,2,75000
21,493,254,1303,2016,70000,1,1,0,0,650000
12,144,497,761,2017,24000,4,1,1,0,390000
9,104,221,250,2005,120000,4,1,1,2,100000
12,379,555,831,2007,78380,4,1,1,0,175000
17,127,365,995,2012,110000,1,1,1,2,434999
8,194,682,186,2010,90000,1,1,1,4,170000
8,194,682,186,2011,90000,1,1,1,4,190000
12,450,689,853,2009,150000,1,1,1,4,250000
12,177,555,784,2006,70000,4,1,1,4,140000
12,464,556,873,2017,80362,1,1,1,0,600000
10,590,103,507,2012,110000,4,1,1,4,280000
